Market_Region,Date,ReExports,Domestic_Exports,Imports
Total All Markets,2025-01-01,34735.6,24672,54746.4
Total All Markets,2024-12-01,36458.2,23684.7,56135.9
Total All Markets,2024-11-01,34891.5,23438.7,51802.1
Total All Markets,2024-10-01,33962.6,22147.8,51415.6
Total All Markets,2024-09-01,32477.4,21966.7,49068.4
Total All Markets,2024-08-01,31776.5,23984,49949
Total All Markets,2024-07-01,32806.7,26421.3,52965.2
Total All Markets,2024-06-01,29062.7,22945.7,48845.9
Total All Markets,2024-05-01,31257.7,25555.3,52681.4
Total All Markets,2024-04-01,31760.6,24062.9,52901
Total All Markets,2024-03-01,32945.3,24093.9,51339.9
Total All Markets,2024-02-01,27952.7,23159.9,45008.5
Total All Markets,2024-01-01,32555.4,25136.8,49246.6
Total All Markets,2023-12-01,29930.3,22546,45253.9
Total All Markets,2023-11-01,30728.5,24833.9,49402.4
Total All Markets,2023-10-01,31772.3,26297.7,51889.5
Total All Markets,2023-09-01,31343.3,23093.3,48959.2
Total All Markets,2023-08-01,30428.1,23134.7,49260
Total All Markets,2023-07-01,29856.1,22445.5,46574.6
Total All Markets,2023-06-01,29604.3,23470,46726.3
Total All Markets,2023-05-01,27704,23026.6,45562
Total All Markets,2023-04-01,25294.1,24015,44966.7
Total All Markets,2023-03-01,31516.9,27554.9,51593.3
Total All Markets,2023-02-01,28002.9,22273.8,42748.4
Total All Markets,2023-01-01,27169.8,22361.4,44382.9
Total All Markets,2022-12-01,30576.5,24423.6,49869.8
Total All Markets,2022-11-01,29186.4,24976.4,50653.9
Total All Markets,2022-10-01,31030.4,25546,53182.9
Total All Markets,2022-09-01,35028,27479.1,55799.3
Total All Markets,2022-08-01,33143.3,30220.5,58466
Total All Markets,2022-07-01,33126.9,30998.1,61029.4
Total All Markets,2022-06-01,34104.9,30072.1,59649.2
Total All Markets,2022-05-01,30705.1,29142.3,57604.3
Total All Markets,2022-04-01,31861.3,28376.1,56116
Total All Markets,2022-03-01,33637,29495.6,58080
Total All Markets,2022-02-01,27789.2,24202.3,44958.4
Total All Markets,2022-01-01,30108.9,24736.8,50026.8
Total All Markets,2021-12-01,33138.7,26075.1,54349.4
Total All Markets,2021-11-01,30239.2,26480.9,50674.9
Total All Markets,2021-10-01,29646.4,23992.9,47945.2
Total All Markets,2021-09-01,29105.5,22928.6,45980.4
Total All Markets,2021-08-01,28919.2,23119.3,44714.5
Total All Markets,2021-07-01,26549.4,23284.6,46107.8
Total All Markets,2021-06-01,25881.2,23737.8,45039.8
Total All Markets,2021-05-01,25738.9,21616.3,41559.7
Total All Markets,2021-04-01,27790,22801.9,45169.5
Total All Markets,2021-03-01,30225.7,25218.4,47668.4
Total All Markets,2021-02-01,23084.8,19517.4,37643.7
Total All Markets,2021-01-01,24786.6,20202.2,39028.6
Total All Markets,2020-12-01,26108.9,20137.9,40154.5
Total All Markets,2020-11-01,25274.7,18017.3,38477.9
Total All Markets,2020-10-01,25436.8,18651.6,38173.8
Total All Markets,2020-09-01,25091.8,18815.7,38801.4
Total All Markets,2020-08-01,24270.5,20063.2,36472.3
Total All Markets,2020-07-01,23389.8,19502.9,37843.6
Total All Markets,2020-06-01,22619.7,18021.1,35120.9
Total All Markets,2020-05-01,19566.8,16915.5,31458.2
Total All Markets,2020-04-01,20700.2,19246.4,35878.8
Total All Markets,2020-03-01,23426.5,22373.5,40433
Total All Markets,2020-02-01,22442.8,21069.5,39472.6
Total All Markets,2020-01-01,22866.6,21635,41180.2
Total All Markets,2019-12-01,24678.7,20385,41580.6
Total All Markets,2019-11-01,24731,21027.8,42489.9
Total All Markets,2019-10-01,24901.1,21927.3,42282.5
Total All Markets,2019-09-01,23948.3,19546,39450.6
Total All Markets,2019-08-01,24307.6,20850.4,40998.2
Total All Markets,2019-07-01,24246.7,21144.2,42030
Total All Markets,2019-06-01,21491.1,19933,38979.9
Total All Markets,2019-05-01,23372.5,23259.1,42637.6
Total All Markets,2019-04-01,22652.2,21486.6,41294.9
Total All Markets,2019-03-01,23508.3,20723.8,40340.1
Total All Markets,2019-02-01,19952.9,19909.7,36074.4
Total All Markets,2019-01-01,23130.2,21400.7,41553.6
Total All Markets,2018-12-01,22399.2,21093.1,42566.5
Total All Markets,2018-11-01,24219.3,24480.7,45114.6
Total All Markets,2018-10-01,25634.6,26021.8,47127.1
Total All Markets,2018-09-01,23300.4,22549.9,41439.6
Total All Markets,2018-08-01,25716.6,24732,43802.1
Total All Markets,2018-07-01,24737.2,23569.5,44972.5
Total All Markets,2018-06-01,22308.1,23385.7,41054.6
Total All Markets,2018-05-01,22451.7,25908,42887.8
Total All Markets,2018-04-01,21413.4,23078.8,38382.7
Total All Markets,2018-03-01,22604.3,22997.9,39745.5
Total All Markets,2018-02-01,18823.2,20113.2,34609.6
Total All Markets,2018-01-01,20919.2,23207.3,38491.5
Total All Markets,2017-12-01,21305.3,23287.9,40104.3
Total All Markets,2017-11-01,22451.3,23434.9,41477
Total All Markets,2017-10-01,21194.1,22545.5,39347.1
Total All Markets,2017-09-01,20750.2,20428.5,35732.2
Total All Markets,2017-08-01,22870.2,21594.6,38702.9
Total All Markets,2017-07-01,22773.3,19856.1,36874.7
Total All Markets,2017-06-01,21236,21088.2,36416.6
Total All Markets,2017-05-01,21663,22282.2,39149.5
Total All Markets,2017-04-01,19694.5,20736.5,34542.1
Total All Markets,2017-03-01,22974.5,23098.2,39987.6
Total All Markets,2017-02-01,18795.3,20545,33032.6
Total All Markets,2017-01-01,19991.2,20404.3,36734.9
Total All Markets,2016-12-01,22805.3,21516.2,39473.3
Total All Markets,2016-11-01,21606,20283,37483
Total All Markets,2016-10-01,21367.3,18278.5,33929.8
Total All Markets,2016-09-01,20674.6,19014.9,32761
Total All Markets,2016-08-01,20433.6,18194.4,33527.9
Total All Markets,2016-07-01,19615.4,18547.8,31906.4
Total All Markets,2016-06-01,19711.2,19591.8,34067.9
Total All Markets,2016-05-01,18839.2,20068.4,32922.4
Total All Markets,2016-04-01,19955,18822,32238
Total All Markets,2016-03-01,20872.1,17947.9,33662
Total All Markets,2016-02-01,17368.4,15024.3,30949.9
Total All Markets,2016-01-01,19730.3,16643.9,30382.9
Total All Markets,2015-12-01,22271.5,18332.7,34868.8
Total All Markets,2015-11-01,21831,17321,33630.6
Total All Markets,2015-10-01,23283.6,20189.5,35998.1
Total All Markets,2015-09-01,20865.1,19701.7,35279
Total All Markets,2015-08-01,19500.2,18999.3,35260.5
Total All Markets,2015-07-01,20974.2,21909.5,37430.9
Total All Markets,2015-06-01,20215.5,21109.2,36614.8
Total All Markets,2015-05-01,19782.4,19637.1,33572.4
Total All Markets,2015-04-01,21296.6,20829.5,36970.4
Total All Markets,2015-03-01,23181.9,23159.6,38824.7
Total All Markets,2015-02-01,18123.2,16622.1,29731.2
Total All Markets,2015-01-01,22758,19921.7,35221.2
Total All Markets,2014-12-01,21360.8,20793.6,38375
Total All Markets,2014-11-01,21609.7,20041.9,35762.5
Total All Markets,2014-10-01,22599.9,22476.2,41160.4
Total All Markets,2014-09-01,22460.5,22797.5,40573.6
Total All Markets,2014-08-01,19688.7,23707,36885.2
Total All Markets,2014-07-01,20126.3,23475.4,40809.2
Total All Markets,2014-06-01,21049.6,22555.3,38216.9
Total All Markets,2014-05-01,20799.2,22942.4,41829.4
Total All Markets,2014-04-01,22224.9,23976.2,42799.3
Total All Markets,2014-03-01,23001.6,22279.1,43813.7
Total All Markets,2014-02-01,18915.4,22219.8,37214
Total All Markets,2014-01-01,22452.6,22513.7,41143.3
Total All Markets,2013-12-01,20393.8,22119.6,38686.5
Total All Markets,2013-11-01,21527.7,21501.6,38981.8
Total All Markets,2013-10-01,23804.1,24112.2,44871.4
Total All Markets,2013-09-01,21292.6,23868.5,41616.8
Total All Markets,2013-08-01,21264.7,22578.8,40477.3
Total All Markets,2013-07-01,22322.7,24041.1,43645.8
Total All Markets,2013-06-01,20892.1,22544.3,39241
Total All Markets,2013-05-01,23570.8,22157.5,41984.1
Total All Markets,2013-04-01,22717.3,22973.9,42058.3
Total All Markets,2013-03-01,19478.6,22806.5,38088.9
Total All Markets,2013-02-01,17436.8,20123.7,35355.1
Total All Markets,2013-01-01,19589.1,22389,40563.8
Total All Markets,2012-12-01,18663,21102.4,37259.8
Total All Markets,2012-11-01,19490.3,22994.7,40081.3
Total All Markets,2012-10-01,19659.5,24825.7,41031.8
Total All Markets,2012-09-01,19575.2,22273.7,37875.9
Total All Markets,2012-08-01,18617.7,23230.6,38629.3
Total All Markets,2012-07-01,19447.2,23067.8,38990.8
Total All Markets,2012-06-01,19288.2,24121.7,41641
Total All Markets,2012-05-01,19478.9,25067.4,42810.3
Total All Markets,2012-04-01,20694.1,24135.8,39686.8
Total All Markets,2012-03-01,21058.3,25063.4,43698.7
Total All Markets,2012-02-01,19327.2,26337,40218.2
Total All Markets,2012-01-01,18885.8,22948.8,40266
Total All Markets,2011-12-01,20999.3,24644.1,38210.1
Total All Markets,2011-11-01,19817.2,23382.7,41868.8
Total All Markets,2011-10-01,21725.6,22829,39592
Total All Markets,2011-09-01,20991.7,24403.9,38911.6
Total All Markets,2011-08-01,18823.9,26302.9,42209.2
Total All Markets,2011-07-01,19259.2,23385,37264.5
Total All Markets,2011-06-01,20317.5,23554.3,39185.5
Total All Markets,2011-05-01,19746.4,22893.8,39756.7
Total All Markets,2011-04-01,19733.7,23029.6,38518.7
Total All Markets,2011-03-01,21766.5,24934.1,43060.8
Total All Markets,2011-02-01,17252.5,19710.8,32126.6
Total All Markets,2011-01-01,21107.7,22659,37583.8
Total All Markets,2010-12-01,20453.7,21397.5,36115
Total All Markets,2010-11-01,19018.6,20754.3,35795.6
Total All Markets,2010-10-01,19769.7,22881.8,35674.4
Total All Markets,2010-09-01,19794.7,21820.7,35562.6
Total All Markets,2010-08-01,20549,22392.6,36208.6
